"Year","Doctype","Publisher","Venue","Title","DOI","Citations","Altmetric","Decision","PubPeer Users"
"2011","article","Public Library of Science (PLoS)","PLOS ONE","Age Related Changes in NAD+ Metabolism Oxidative Stress and Sirt1 Activity in Wistar Rats","10.1371/journal.pone.0019194","564","80","2024-11-13 retracted","Elisabeth M Bik, Edentulina Martensi, Mycosphaerella Arachidis, Encoelia Furfuracea, Mastigona Mutabile, Pittosporum Tenuifolium, Nocardioides Hwasunensis"
"2006","article","Public Library of Science (PLoS)","PLOS Pathogens","RETRACTED > Identification of a Novel Gammaretrovirus in Prostate Tumors of Patients Homozygous for R462Q RNASEL Variant","10.1371/journal.ppat.0020025","498","130","2012-09-18 retracted","Guillaume Cabanac"
"2015","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Standardised Mindfulness-Based Interventions in Healthcare: An Overview of Systematic Reviews and Meta-Analyses of RCTs","10.1371/journal.pone.0124344","496","243","2019-04-12 retracted","Orthosia Calycina"
"2011","article","Public Library of Science (PLoS)","PLOS ONE","Passive Immunization Reduces Behavioral and Neuropathological Deficits in an Alpha-Synuclein Transgenic Model of Lewy Body Disease","10.1371/journal.pone.0019338","409","50","2024-11-13 retracted","Elisabeth M Bik, Aneurus Inconstans, Dysdera Arabisenen, Encoelia Furfuracea, Matthew Schrag, Illex Illecebrosus"
"2021","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Application of local fully Convolutional Neural Network combined with YOLO v5 algorithm in small target detection of remote sensing image","10.1371/journal.pone.0259283","406","0","2023-09-07 retracted","Hoya Camphorifolia, Rhipidura Albiventris"
"2010","article","Public Library of Science (PLoS)","PLOS ONE","Selective Molecular Alterations in the Autophagy Pathway in Patients with Lewy Body Disease and in Models of α-Synucleinopathy","10.1371/journal.pone.0009313","357","31","2024-11-13 retracted","Elisabeth M Bik, Actinopolyspora Biskrensis, Encoelia Furfuracea"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","Resveratrol Inhibits Invasion and Metastasis of Colorectal Cancer Cells via MALAT1 Mediated Wnt/β-Catenin Signal Pathway","10.1371/journal.pone.0078700","356","4","2025-07-14 retracted","Hoya Camphorifolia, Actinopolyspora Biskrensis, Yersinia Wautersii, Qi Li"
"2016","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > The Circular RNA Cdr1as Act as an Oncogene in Hepatocellular Carcinoma through Targeting miR-7 Expression","10.1371/journal.pone.0158347","331","4","2023-03-29 retracted","Hoya Camphorifolia"
"2010","article","Public Library of Science (PLoS)","PLOS Biology","RETRACTED > IL-6 and IL-10 Anti-Inflammatory Activity Links Exercise to Hypothalamic Insulin and Leptin Sensitivity through IKKβ and ER Stress Inhibition","10.1371/journal.pbio.1000465","291","21","2023-04-04 retracted","Unregistered Submission, Actinopolyspora Biskrensis, Hortia Oreadica, Kyklioacalles Astragali, Puffinus Colstoni, Gerris Caucasicus, Baumanella Alameda"
"2009","article","Public Library of Science (PLoS)","PLOS Pathogens","RETRACTED > Innate Immune Sensing of Modified Vaccinia Virus Ankara (MVA) Is Mediated by TLR2-TLR6, MDA-5 and the NALP3 Inflammasome","10.1371/journal.ppat.1000480","276","10","2022-01-25 retracted","Bryum Arachnoideum"
"2021","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > The anti-vaccination infodemic on social media: A behavioral analysis","10.1371/journal.pone.0247642","270","699","2022-12-22 retracted","Gerris Caucasicus"
"2008","article","Public Library of Science (PLoS)","PLOS ONE","Mechanisms of Hybrid Oligomer Formation in the Pathogenesis of Combined Alzheimer's and Parkinson's Diseases","10.1371/journal.pone.0003135","263","14","2025-03-18 retracted","Elisabeth M Bik"
"2008","article","Public Library of Science (PLoS)","PLOS ONE","Breast Tumor Cells with PI3K Mutation or HER2 Amplification Are Selectively Addicted to Akt Signaling","10.1371/journal.pone.0003065","261","12","2026-01-21 retracted","Jamides Zebra, Austrostipa Dongicola"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Overexpression of YAP and TAZ Is an Independent Predictor of Prognosis in Colorectal Cancer and Related to the Proliferation and Metastasis of Colon Cancer Cells","10.1371/journal.pone.0065539","251","0","2023-02-07 retracted","Elisabeth M Bik, Qing Zhu, Lijuan Wang"
"2020","article","Public Library of Science (PLoS)","PLOS ONE","Vitamin D sufficiency, a serum 25-hydroxyvitamin D at least 30 ng/mL reduced risk for adverse clinical outcomes in patients with COVID-19 infection","10.1371/journal.pone.0239799","243","1421","2024-06-06 retracted","Nicholas J. L. Brown, Actinopolyspora Biskrensis, Tagiades Flesus, Charadra Pata, Alexander Magazinov, Aquipuribacter Hungaricus"
"2011","article","Public Library of Science (PLoS)","PLOS Biology","RETRACTED > Gut Microbiota Is a Key Modulator of Insulin Resistance in TLR 2 Knockout Mice","10.1371/journal.pbio.1001212","240","72","2016-05-23 retracted","Paul S Brookes, Unregistered Submission, Peer 1, Peer 2, Peer 6, Peer 7, Calotis Cuneifolia"
"2016","article","Public Library of Science (PLoS)","PLOS ONE","Responses of Rapid Viscoanalyzer Profile and Other Rice Grain Qualities to Exogenously Applied Plant Growth Regulators under High Day and High Night Temperatures","10.1371/journal.pone.0159590","236","1","2024-09-18 retracted","Hoya Camphorifolia"
"2005","article","Public Library of Science (PLoS)","PLOS Biology","RETRACTED > Neutralizing Aptamers from Whole-Cell SELEX Inhibit the RET Receptor Tyrosine Kinase","10.1371/journal.pbio.0030123","230","25","2015-07-17 retracted","Peer 1"
"2020","article","Public Library of Science (PLoS)","PLOS ONE","ACC-deaminase producing plant growth promoting rhizobacteria and biochar mitigate adverse effects of drought stress on maize growth","10.1371/journal.pone.0230615","219","1","2022-11-16 retracted","–"
"2017","article","Public Library of Science (PLoS)","PLOS Biology","RETRACTED > Brain–Computer Interface–Based Communication in the Completely Locked-In State","10.1371/journal.pbio.1002593","214","2183","2019-12-16 retracted","Martin Spüler, Xenorhina Fuscigula, Astroloma Tectum, Potentilla Humifusa, Akanthomyces Koratensis"
"2010","article","Public Library of Science (PLoS)","PLOS Neglected Tropical Diseases","Coxiella burnetii in Humans and Ticks in Rural Senegal","10.1371/journal.pntd.0000654","211","5","2026-04-09 retracted","Elisabeth M Bik, Thomas Kesteman"
"2015","article","Public Library of Science (PLoS)","PLOS ONE","Berberine Inhibits Invasion and Metastasis of Colorectal Cancer Cells via COX-2/PGE2 Mediated JAK2/STAT3 Signaling Pathway","10.1371/journal.pone.0123478","183","2","2025-07-14 retracted","Hoya Camphorifolia, Actinopolyspora Biskrensis, Qi Li"
"2020","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Terminal drought and heat stress alter physiological and biochemical attributes in flag leaf of bread wheat","10.1371/journal.pone.0232974","183","0","2023-04-19 retracted","Gerris Caucasicus"
"2011","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Anti-Tumor Activity of a Novel Compound-CDF Is Mediated by Regulating miR-21, miR-200, and PTEN in Pancreatic Cancer","10.1371/journal.pone.0017850","181","11","2018-10-02 retracted","Unregistered Submission, Aphis Rumicis, Aplastodiscus Eugenioi"
"2007","article","Public Library of Science (PLoS)","PLOS Genetics","DNA Damage, Homology-Directed Repair, and DNA Methylation","10.1371/journal.pgen.0030110","179","15","2025-10-27 retracted","Peer 1, Peer 2, Unregistered Submission, Actinopolyspora Biskrensis, Lysobacter Firmicutimachus"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > MicroRNA-10b Promotes Nucleus Pulposus Cell Proliferation through RhoC-Akt Pathway by Targeting HOXD10 in Intervetebral Disc Degeneration","10.1371/journal.pone.0083080","174","0","2023-03-29 retracted","Hoya Camphorifolia"
"2015","article","Public Library of Science (PLoS)","PLOS ONE","In Vitro and In Vivo Plant Growth Promoting Activities and DNA Fingerprinting of Antagonistic Endophytic Actinomycetes Associates with Medicinal Plants","10.1371/journal.pone.0139468","171","1","2026-01-26 retracted","Actinopolyspora Biskrensis, Bhim Pratap Singh"
"2010","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Vimentin Is a Novel Anti-Cancer Therapeutic Target; Insights from In Vitro and In Vivo Mice Xenograft Studies","10.1371/journal.pone.0010105","166","7","2019-03-21 retracted","Tabebuia Rosea, Hoya Camphorifolia, Hemitripterus Bolini"
"2018","article","Public Library of Science (PLoS)","PLOS ONE","Fine-granularity inference and estimations to network traffic for SDN","10.1371/journal.pone.0194302","158","0","2025-04-23 retracted","Hoya Camphorifolia, Rhipidura Albiventris"
"2010","article","Public Library of Science (PLoS)","PLOS Neglected Tropical Diseases","Tick-Borne Rickettsioses, Neglected Emerging Diseases in Rural Senegal","10.1371/journal.pntd.0000821","154","0","2026-05-26 retracted","Elisabeth M Bik"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","TOM40 Mediates Mitochondrial Dysfunction Induced by α-Synuclein Accumulation in Parkinson’s Disease","10.1371/journal.pone.0062277","153","12","2025-03-03 retracted","Dysdera Arabisenen"
"2017","article","Public Library of Science (PLoS)","PLOS ONE","Long Non-Coding RNA HOTAIR Regulates the Proliferation, Self-Renewal Capacity, Tumor Formation and Migration of the Cancer Stem-Like Cell (CSC) Subpopulation Enriched from Breast Cancer Cells","10.1371/journal.pone.0170860","141","3","2024-03-26 retracted","Hoya Camphorifolia, Mycosphaerella Arachidis"
"2020","article","Public Library of Science (PLoS)","PLOS ONE","Biogenic green synthesis of MgO nanoparticles using Saussurea costus biomasses for a comprehensive detection of their antimicrobial, cytotoxicity against MCF-7 breast cancer cells and photocatalysis potentials","10.1371/journal.pone.0237567","141","3","2026-06-22 retracted","Elisabeth M Bik, Maha F El-Tohamy"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","Tim-3 Expression in Cervical Cancer Promotes Tumor Metastasis","10.1371/journal.pone.0053834","140","9","2024-07-25 retracted","Hoya Camphorifolia, Lotus Azoricus"
"2019","article","Public Library of Science (PLoS)","PLOS ONE","Fecal microbiota transplantation for treatment of recurrent C. difficile infection: An updated randomized controlled trial meta-analysis","10.1371/journal.pone.0210016","139","394","2024-12-13 retracted","Hoya Camphorifolia"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","Specific Transfection of Inflamed Brain by Macrophages: A New Therapeutic Strategy for Neurodegenerative Diseases","10.1371/journal.pone.0061852","139","34","2024-12-17 retracted","Hoya Camphorifolia, Banksia Aquilonia"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > In Vivo Antioxidant and Antiulcer Activity of Parkia speciosa Ethanolic Leaf Extract against Ethanol-Induced Gastric Ulcer in Rats","10.1371/journal.pone.0064751","139","2","2023-11-10 retracted","Hoya Camphorifolia, Mycosphaerella Arachidis, Illex Illecebrosus"
"2014","article","Public Library of Science (PLoS)","PLOS ONE","GDNF-Transfected Macrophages Produce Potent Neuroprotective Effects in Parkinson's Disease Mouse Model","10.1371/journal.pone.0106867","138","86","2024-12-17 retracted","Hoya Camphorifolia, Oxyethira Obtatus"
"2016","article","Public Library of Science (PLoS)","PLOS Biology","RETRACTED > Exosomes Mediate LTB4 Release during Neutrophil Chemotaxis","10.1371/journal.pbio.1002336","136","25","2021-07-07 retracted","Fleutiauxellus Curatus, Delevea Bertrandi"
"2016","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Curcumin Suppresses Proliferation and Migration of MDA-MB-231 Breast Cancer Cells through Autophagy-Dependent Akt Degradation","10.1371/journal.pone.0146553","134","14","2023-03-15 retracted","Aneurus Inconstans, Changhua Wang"
"2010","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Upregulation of PTEN in Glioma Cells by Cord Blood Mesenchymal Stem Cells Inhibits Migration via Downregulation of the PI3K/Akt Pathway","10.1371/journal.pone.0010350","133","5","2020-03-30 retracted","Lotus Azoricus, Nesocolletes Fulvescens, Leptogenys Diminuta"
"2006","article","Public Library of Science (PLoS)","PLOS Biology","RETRACTED > The RNA-Binding Protein KSRP Promotes Decay of β-Catenin mRNA and Is Inactivated by PI3K-AKT Signaling","10.1371/journal.pbio.0050005","130","9","2015-11-16 retracted","Unregistered Submission, Peer 2"
"2024","article","Public Library of Science (PLoS)","PLOS ONE","Improved Support Vector Machine based on CNN-SVD for vision-threatening diabetic retinopathy detection and classification","10.1371/journal.pone.0295951","130","0","2025-09-22 retracted","Hoya Camphorifolia"
"2021","article","Public Library of Science (PLoS)","PLOS Pathogens","Inhibition of anti-viral stress granule formation by coronavirus endoribonuclease nsp15 ensures efficient virus replication","10.1371/journal.ppat.1008690","129","12","2026-04-08 retracted","–"
"2015","article","Public Library of Science (PLoS)","PLOS ONE","Optimum 3D Matrix Stiffness for Maintenance of Cancer Stem Cells Is Dependent on Tissue Origin of Cancer Cells","10.1371/journal.pone.0132377","129","4","2026-05-28 retracted","Hoya Camphorifolia, Reese Richardson"
"2014","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > TiO2 Nanoparticles Induced Hippocampal Neuroinflammation in Mice","10.1371/journal.pone.0092230","127","0","2024-01-11 retracted","Hoya Camphorifolia"
"2009","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Soybean Trihelix Transcription Factors GmGT-2A and GmGT-2B Improve Plant Tolerance to Abiotic Stresses in Transgenic Arabidopsis","10.1371/journal.pone.0006898","127","0","2023-10-09 retracted","Elisabeth M Bik, Hoya Camphorifolia, Actinopolyspora Biskrensis, Jin-Song Zhang"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Identification and Characterization of Cells with Cancer Stem Cell Properties in Human Primary Lung Cancer Cell Lines","10.1371/journal.pone.0057020","125","5","2020-04-29 retracted","Eutetrapha Ocelota, Actinocorallia Glomerata"
"2022","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED: Green synthesis of SiO2 nanoparticles from Rhus coriaria L. extract: Comparison with chemically synthesized SiO2 nanoparticles","10.1371/journal.pone.0268184","125","1","2026-04-09 retracted","Reese Richardson"
"2011","article","Public Library of Science (PLoS)","PLOS ONE","Hydrogen Sulfide Attenuated Tumor Necrosis Factor-α-Induced Inflammatory Signaling and Dysfunction in Vascular Endothelial Cells","10.1371/journal.pone.0019766","123","4","2024-10-01 retracted","Hoya Camphorifolia, Lecithocera Eumenopis"
"2009","article","Public Library of Science (PLoS)","PLOS Genetics","RETRACTED > p63 and p73 Transcriptionally Regulate Genes Involved in DNA Repair","10.1371/journal.pgen.1000680","122","23","2023-03-27 retracted","Elisabeth M Bik, Actinopolyspora Biskrensis, Herbertus Alpinus, Ministeria Vibrans, Elsa R Flores"
"2008","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > DJ-1 Modulates α-Synuclein Aggregation State in a Cellular Model of Oxidative Stress: Relevance for Parkinson's Disease and Involvement of HSP70","10.1371/journal.pone.0001884","118","1","2020-01-24 retracted","Peer 1, Tiwaripotamon Vietnamicum"
"2011","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Up-Regulation of Sonic Hedgehog Contributes to TGF-β1-Induced Epithelial to Mesenchymal Transition in NSCLC Cells","10.1371/journal.pone.0016068","117","2","2018-10-02 retracted","Unregistered Submission, Aphis Rumicis, Aplastodiscus Eugenioi"
"2009","article","Public Library of Science (PLoS)","PLOS ONE","Disruption of Growth Hormone Receptor Prevents Calorie Restriction from Improving Insulin Action and Longevity","10.1371/journal.pone.0004567","117","1","2024-03-28 retracted","Actinopolyspora Biskrensis"
"2021","article","Public Library of Science (PLoS)","PLOS ONE","Detecting phishing websites using machine learning technique","10.1371/journal.pone.0258361","116","0","2025-04-23 retracted","Hoya Camphorifolia"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Novel Mechanism of Inhibition of Dendritic Cells Maturation by Mesenchymal Stem Cells via Interleukin-10 and the JAK1/STAT3 Signaling Pathway","10.1371/journal.pone.0055487","115","5","2018-03-14 retracted","Anoplus Plantaris, Bacillus Mannanilyticus"
"2023","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED: Country-level institutional quality and financial system efficiency: An international evidence","10.1371/journal.pone.0290511","113","0","2025-10-09 retracted","Hoya Camphorifolia"
"2014","article","Public Library of Science (PLoS)","PLOS ONE","Long Noncoding RNA-EBIC Promotes Tumor Cell Invasion by Binding to EZH2 and Repressing E-Cadherin in Cervical Cancer","10.1371/journal.pone.0100340","111","4","2025-01-30 retracted","Peer 1, Hoya Camphorifolia, Elisabeth Bik"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Nanosized TiO2-Induced Reproductive System Dysfunction and Its Mechanism in Female Mice","10.1371/journal.pone.0059378","111","1","2024-01-11 retracted","Hoya Camphorifolia"
"2016","article","Public Library of Science (PLoS)","PLOS ONE","Magnetic Properties of Polyvinyl Alcohol and Doxorubicine Loaded Iron Oxide Nanoparticles for Anticancer Drug Delivery Applications","10.1371/journal.pone.0158084","110","1","2025-12-02 retracted","Elisabeth M Bik, Hoya Camphorifolia"
"2021","article","Public Library of Science (PLoS)","PLOS ONE","An assessment of students’ emotional intelligence, learning outcomes, and academic efficacy: A correlational study in higher education","10.1371/journal.pone.0255428","106","1","2025-10-09 retracted","Hoya Camphorifolia"
"2010","article","Public Library of Science (PLoS)","PLOS ONE","Protective Role of Taurine against Arsenic-Induced Mitochondria-Dependent Hepatic Apoptosis via the Inhibition of PKCδ-JNK Pathway","10.1371/journal.pone.0012602","106","0","2025-05-12 retracted","Hoya Camphorifolia"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Apple Peel Polyphenols and Their Beneficial Actions on Oxidative Stress and Inflammation","10.1371/journal.pone.0053725","105","29","2022-04-14 retracted","Elisabeth M Bik"
"2010","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Identification of Histone Deacetylase 3 as a Biomarker for Tumor Recurrence Following Liver Transplantation in HBV-Associated Hepatocellular Carcinoma","10.1371/journal.pone.0014460","105","0","2019-07-31 retracted","Mastacembelus Micropectus"
"2015","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Antisecretory, Gastroprotective, Antioxidant and Anti-Helicobcter Pylori Activity of Zerumbone from Zingiber Zerumbet (L.) Smith","10.1371/journal.pone.0121060","104","1","2023-11-10 retracted","Hoya Camphorifolia, Mycosphaerella Arachidis, Illex Illecebrosus"
"2019","article","Public Library of Science (PLoS)","PLOS ONE","Association between emotional intelligence and academic success among undergraduates: A cross-sectional study in KUST, Pakistan","10.1371/journal.pone.0219468","104","0","2025-04-14 retracted","Hoya Camphorifolia"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","Enhanced Immune Response and Protective Effects of Nano-chitosan-based DNA Vaccine Encoding T Cell Epitopes of Esat-6 and FL against Mycobacterium Tuberculosis Infection","10.1371/journal.pone.0061135","103","4","2024-05-08 retracted","Elisabeth M Bik, Hoya Camphorifolia, Yingwei Wang"
"2011","article","Public Library of Science (PLoS)","PLOS ONE","RETRACTED > Lycopene Inhibits NF-kB-Mediated IL-8 Expression and Changes Redox and PPARγ Signalling in Cigarette Smoke–Stimulated Macrophages","10.1371/journal.pone.0019652","103","2","2014-07-08 retracted","Unregistered Submission, Peer 1"
