"Year","Doctype","Publisher","Venue","Title","DOI","Citations","Altmetric","Decision","PubPeer Users"
"2011","article","Public Library of Science (PLoS)","PLOS ONE","Age Related Changes in NAD+ Metabolism Oxidative Stress and Sirt1 Activity in Wistar Rats","10.1371/journal.pone.0019194","564","80","2022-01-31 expression of concern","Elisabeth M Bik, Edentulina Martensi, Mycosphaerella Arachidis, Encoelia Furfuracea, Mastigona Mutabile, Pittosporum Tenuifolium, Nocardioides Hwasunensis"
"2015","article","Public Library of Science (PLoS)","PLOS ONE","Alcohol-Related Risk of Suicidal Ideation, Suicide Attempt, and Completed Suicide: A Meta-Analysis","10.1371/journal.pone.0126870","426","401","2022-12-19 expression of concern","–"
"2007","article","Public Library of Science (PLoS)","PLOS Biology","Targeted Inhibition of miRNA Maturation with Morpholinos Reveals a Role for miR-375 in Pancreatic Islet Development","10.1371/journal.pbio.0050203","423","31","2022-04-29 expression of concern","Elisabeth M Bik, Unregistered Submission"
"2009","article","Public Library of Science (PLoS)","PLOS ONE","High-Fat Diet Induces Apoptosis of Hypothalamic Neurons","10.1371/journal.pone.0005045","362","9","2023-10-10 expression of concern","Elisabeth M Bik, Cortinarius Sanguineus, Illex Illecebrosus, Homorthodes Carneola"
"2012","article","Public Library of Science (PLoS)","PLOS ONE","Over-Expression of LSD1 Promotes Proliferation, Migration and Invasion in Non-Small Cell Lung Cancer","10.1371/journal.pone.0035065","262","12","2024-02-02 expression of concern","–"
"2009","article","Public Library of Science (PLoS)","PLOS Biology","Neuropilin-1/GIPC1 Signaling Regulates α5β1 Integrin Traffic and Function in Endothelial Cells","10.1371/journal.pbio.1000025","260","6","2022-10-05 expression of concern","Unregistered Submission, Peer 2, Oxyrrhynchium Vagans"
"2020","article","Public Library of Science (PLoS)","PLOS ONE","Vitamin D sufficiency, a serum 25-hydroxyvitamin D at least 30 ng/mL reduced risk for adverse clinical outcomes in patients with COVID-19 infection","10.1371/journal.pone.0239799","243","1421","2020-10-14 expression of concern","Nicholas J. L. Brown, Actinopolyspora Biskrensis, Tagiades Flesus, Charadra Pata, Alexander Magazinov, Aquipuribacter Hungaricus"
"2017","article","Public Library of Science (PLoS)","PLOS ONE","Progression of Parkinson's disease is associated with gut dysbiosis: Two-year follow-up study","10.1371/journal.pone.0187307","241","27","2023-01-11 expression of concern","–"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","Dietary Compound Isoliquiritigenin Inhibits Breast Cancer Neoangiogenesis via VEGF/VEGFR-2 Signaling Pathway","10.1371/journal.pone.0068566","239","22","2026-02-26 expression of concern","Hoya Camphorifolia, Actinopolyspora Biskrensis"
"2014","article","Public Library of Science (PLoS)","PLOS ONE","Genetic Dissection of Drought and Heat Tolerance in Chickpea through Genome-Wide and Candidate Gene-Based Association Mapping Approaches","10.1371/journal.pone.0096758","224","48","2026-05-26 expression of concern","–"
"2013","article","Public Library of Science (PLoS)","PLOS ONE","Curcumin Enhances the Effect of Chemotherapy against Colorectal Cancer Cells by Inhibition of NF-κB and Src Protein Kinase Signaling Pathways","10.1371/journal.pone.0057218","220","37","2024-11-22 expression of concern","Elisabeth M Bik, Peer 1"
"2009","article","Public Library of Science (PLoS)","PLOS ONE","The Excitotoxin Quinolinic Acid Induces Tau Phosphorylation in Human Neurons","10.1371/journal.pone.0006344","218","4","2024-11-14 expression of concern","Elisabeth M Bik, Harmothoe Glabra"
"2017","article","Public Library of Science (PLoS)","PLOS Biology","RETRACTED > Brain–Computer Interface–Based Communication in the Completely Locked-In State","10.1371/journal.pbio.1002593","214","2183","2019-10-16 expression of concern","Martin Spüler, Xenorhina Fuscigula, Astroloma Tectum, Potentilla Humifusa, Akanthomyces Koratensis"
"2010","article","Public Library of Science (PLoS)","PLOS Neglected Tropical Diseases","Coxiella burnetii in Humans and Ticks in Rural Senegal","10.1371/journal.pntd.0000654","211","5","2022-12-13 expression of concern","Elisabeth M Bik, Thomas Kesteman"
"2017","article","Public Library of Science (PLoS)","PLOS ONE","Nanoparticle curcumin ameliorates experimental colitis via modulation of gut microbiota and induction of regulatory T cells","10.1371/journal.pone.0185999","205","48","2023-01-11 expression of concern","–"
"2012","article","Public Library of Science (PLoS)","PLOS ONE","The IkappaB Kinase Family Phosphorylates the Parkinson’s Disease Kinase LRRK2 at Ser935 and Ser910 during Toll-Like Receptor Signaling","10.1371/journal.pone.0039132","203","10","2025-08-26 expression of concern","Inke Näthke, Panulirus Gracilis, Amycle Vernalis"
