uri,primary_name_display,replaced
http://dx.doi.org/10.13039/100022722,"100,000 Strong in the Americas Innovation Fund",
http://dx.doi.org/10.13039/100021236,"10, 000 Degrees",
http://dx.doi.org/10.13039/100017526,"1000 Talents Sichuan Program",
http://dx.doi.org/10.13039/100021175,"1001 New Worshiping Communities",
http://dx.doi.org/10.13039/100026810,"100% For Kids Utah Credit Union Education Foundation",
http://dx.doi.org/10.13039/501100022939,"100 Women",
http://dx.doi.org/10.13039/100028973,"100 Women Charitable Foundation",
http://dx.doi.org/10.13039/100024718,"10x digital",
http://dx.doi.org/10.13039/100017373,"'13th Five-Year' Plan of Philosophy and Social Science Development in Guangzhou",
http://dx.doi.org/10.13039/501100017521,"13th Five-Year Weapons Innovation Foundation of China",
http://dx.doi.org/10.13039/501100013136,"151 Talent's Projects in the Second Level of Zhejiang Province",
http://dx.doi.org/10.13039/100020032,"15. Juni Fonden",
http://dx.doi.org/10.13039/100001436,"1675 Foundation",
http://dx.doi.org/10.13039/100028980,"1708 Gallery's InLight",
http://dx.doi.org/10.13039/100022550,"1772 Foundation",
http://dx.doi.org/10.13039/100028417,"1800CPAP",
http://dx.doi.org/10.13039/100024229,"180 Medical",
http://dx.doi.org/10.13039/100028410,"1889 Foundation",
http://dx.doi.org/10.13039/100014385,"1998 Society",
http://dx.doi.org/10.13039/100024347,"1Dental",
http://dx.doi.org/10.13039/100031382,"1Florida Alzheimer's Disease Research Center",
http://dx.doi.org/10.13039/100028765,"1 for 2 Education Foundation",
http://dx.doi.org/10.13039/100024772,"24H Pest Pros",
http://dx.doi.org/10.13039/100024257,"280 Group",
http://dx.doi.org/10.13039/100028201,"28twelve Foundation",
http://dx.doi.org/10.13039/100021878,"2SLGBTQI+ Secretariat",
http://dx.doi.org/10.13039/100029451,"32nd Street Farmers Market",
http://dx.doi.org/10.13039/501100017522,"3315 Innovation Team in Ningbo City",
http://dx.doi.org/10.13039/501100018592,"“333 Project” of Jiangsu Province",
http://dx.doi.org/10.13039/100024461,"395 Express Lanes",
http://dx.doi.org/10.13039/501100012658,"3D Digital Media Technology Engineering Laboratory",
http://dx.doi.org/10.13039/100032181,"3DT Holdings",
http://dx.doi.org/10.13039/100004343,"3M",
http://dx.doi.org/10.13039/100015579,"3M Foundation",
http://dx.doi.org/10.13039/100021378,"3 Rivers Community Foundation",
http://dx.doi.org/10.13039/501100009485,"40tude",
http://dx.doi.org/10.13039/100016162,"421",
http://dx.doi.org/10.13039/501100021111,"4Cs Foundation",
http://dx.doi.org/10.13039/100021970,"4Culture",
http://dx.doi.org/10.13039/100025560,"4Girls Foundation",
http://dx.doi.org/10.13039/100023129,"4-H Alberta",
http://dx.doi.org/10.13039/501100012420,"5511 Science and Technology Innovation Talent Project of Jiangxi Province",
http://dx.doi.org/10.13039/100014044,"59th Medical Wing",
http://dx.doi.org/10.13039/100014047,"711th Human Performance Wing",
http://dx.doi.org/10.13039/501100005957,"8020 Promotion Foundation",
http://dx.doi.org/10.13039/100020887,"89bio",
http://dx.doi.org/10.13039/100029614,"92nd Street Y",
http://dx.doi.org/10.13039/100024321,"A-1 Auto Transport",
http://dx.doi.org/10.13039/100003550,"AAA Foundation for Traffic Safety",
http://dx.doi.org/10.13039/100006329,"AABB",
http://dx.doi.org/10.13039/100024731,"AABB Foundation",
http://dx.doi.org/10.13039/100026640,"AABC Foundation",
http://dx.doi.org/10.13039/100006323,"AACCI Foundation",R
http://dx.doi.org/10.13039/100006357,"AACCI Foundation",
http://dx.doi.org/10.13039/100006356,"AACC International",
http://dx.doi.org/10.13039/501100007867,"Aachener Graduiertenschule für Computergestützte Natur- und Ingenieurwissenschaften",
http://dx.doi.org/10.13039/100025169,"A-Action Pest Control",
http://dx.doi.org/10.13039/100009747,"AADC Research Trust",
http://dx.doi.org/10.13039/100011558,"AADE Education and Research Foundation",
http://dx.doi.org/10.13039/100002543,"AAEP Foundation",
http://dx.doi.org/10.13039/501100010344,"Aage og Johanne Louis-Hansens Fond",
http://dx.doi.org/10.13039/100031069,"Aage og Yelva Nimbs Fond",
http://dx.doi.org/10.13039/501100002721,"Aage V. Jensens Fonde",
http://dx.doi.org/10.13039/100020222,"AAID Foundation",
http://dx.doi.org/10.13039/501100005188,"AAIR Charity",
http://dx.doi.org/10.13039/501100003131,"Aalborg Samarbejdet",
http://dx.doi.org/10.13039/501100002702,"Aalborg Universitet",
http://dx.doi.org/10.13039/501100006304,"Aalborg Universitetshospital",
http://dx.doi.org/10.13039/501100017640,"Aalborg Zoos Naturbevaringsfond",
